Player,NBA.Team,Affiliation,Year,Round Number,Round Pick,Overall Pick,TeamID
Kirk Snyder,Utah Jazz,Nevada-Reno,2004,1,16,16,1305
Luke Babbitt,Minnesota Timberwolves,Nevada-Reno,2010,1,16,16,1305
Nick Fazekas,Dallas Mavericks,Nevada-Reno,2007,2,4,34,1305
Ramon Sessions,Milwaukee Bucks,Nevada-Reno,2007,2,26,56,1305
Cameron Bairstow,Chicago Bulls,New Mexico,2014,2,19,49,1307
Danny Granger,Indiana Pacers,New Mexico,2005,1,17,17,1307
Darington Hobson,Milwaukee Bucks,New Mexico,2010,2,7,37,1307
J.R. Giddens,Boston Celtics,New Mexico,2008,1,30,30,1307
Tony Snell,Chicago Bulls,New Mexico,2013,1,20,20,1307
Pascal Siakam,Toronto Raptors,New Mexico State,2016,1,27,27,1308
Kyle O'Quinn,Orlando Magic,Norfolk State,2012,2,19,49,1313
Brandan Wright,Charlotte Bobcats,North Carolina,2007,1,8,8,1314
Brice Johnson,LA Clippers,North Carolina,2016,1,25,25,1314
Danny Green,Cleveland Cavaliers,North Carolina,2009,2,16,46,1314
David Noel,Milwaukee Bucks,North Carolina,2006,2,9,39,1314
Ed Davis,Toronto Raptors,North Carolina,2010,1,13,13,1314
Harrison Barnes,Golden State Warriors,North Carolina,2012,1,7,7,1314
John Henson,Milwaukee Bucks,North Carolina,2012,1,14,14,1314
JP Tokoto,Philadelphia 76ers,North Carolina,2015,2,28,58,1314
Kendall Marshall,Phoenix Suns,North Carolina,2012,1,13,13,1314
Marcus Paige,Utah Jazz,North Carolina,2016,2,25,55,1314
Marvin Williams,Atlanta Hawks,North Carolina,2005,1,2,2,1314
Rashad McCants,Minnesota Timberwolves,North Carolina,2005,1,14,14,1314
Raymond Felton,Charlotte Bobcats,North Carolina,2005,1,5,5,1314
Reggie Bullock,Los Angeles Clippers,North Carolina,2013,1,25,25,1314
Reyshawn Terry,Orlando Magic,North Carolina,2007,2,14,44,1314
Sean May,Charlotte Bobcats,North Carolina,2005,1,13,13,1314
Ty Lawson,Minnesota Timberwolves,North Carolina,2009,1,18,18,1314
Tyler Hansbrough,Indiana Pacers,North Carolina,2009,1,13,13,1314
Tyler Zeller,Dallas Mavericks,North Carolina,2012,1,17,17,1314
Wayne Ellington,Minnesota Timberwolves,North Carolina,2009,1,28,28,1314
Jerome Beasley,Miami Heat,North Dakota,2003,2,4,33,1315
Tony Mitchell,Detroit Pistons,North Texas,2013,2,7,37,1317
Demetrius Jackson,Boston Celtics,Notre Dame,2016,2,15,45,1323
Jerian Grant,Washington Wizards,Notre Dame,2015,1,19,19,1323
Luke Harangody,Boston Celtics,Notre Dame,2010,2,22,52,1323
Pat Connaughton,Brooklyn Nets,Notre Dame,2015,2,11,41,1323
Ryan Humphrey,Utah Jazz,Notre Dame,2002,1,19,19,1323
Kay Felder,Atlanta Hawks,Oakland,2016,2,24,54,1324
Keith Benson,Atlanta Hawks,Oakland,2011,2,18,48,1324
Brandon Hunter,Boston Celtics,Ohio,2003,2,27,56,1325
Byron Mullens,Dallas Mavericks,Ohio State,2009,1,24,24,1326
Daequan Cook,Philadelphia 76ers,Ohio State,2007,1,21,21,1326
D'Angelo Russell,Los Angeles Lakers,Ohio State,2015,1,2,2,1326
Deshaun Thomas,San Antonio Spurs,Ohio State,2013,2,28,58,1326
Evan Turner,Philadelphia 76ers,Ohio State,2010,1,2,2,1326
Greg Oden,Portland Trail Blazers,Ohio State,2007,1,1,1,1326
Jared Sullinger,Boston Celtics,Ohio State,2012,1,21,21,1326
Jon Diebler,Portland Trail Blazers,Ohio State,2011,2,21,51,1326
Kosta Koufos,Utah Jazz,Ohio State,2008,1,23,23,1326
Mike Conley,Memphis Grizzlies,Ohio State,2007,1,4,4,1326
Blake Griffin,Los Angeles Clippers,Oklahoma,2009,1,1,1,1328
Buddy Hield,New Orleans Pelicans,Oklahoma,2016,1,6,6,1328
Isaiah Cousins,Sacramento Kings,Oklahoma,2016,2,29,59,1328
Romero Osby,Orlando Magic,Oklahoma,2013,2,21,51,1328
Taylor Griffin,Phoenix Suns,Oklahoma,2009,2,18,48,1328
Tiny Gallon,Milwaukee Bucks,Oklahoma,2010,2,17,47,1328
Willie Warren,Los Angeles Clippers,Oklahoma,2010,2,24,54,1328
James Anderson,San Antonio Spurs,Oklahoma State,2010,1,20,20,1329
JamesOn Curry,Chicago Bulls,Oklahoma State,2007,2,21,51,1329
Joey Graham,Toronto Raptors,Oklahoma State,2005,1,16,16,1329
Marcus Smart,Boston Celtics,Oklahoma State,2014,1,6,6,1329
Markel Brown,Minnesota Timberwolves,Oklahoma State,2014,2,14,44,1329
Tony Allen,Boston Celtics,Oklahoma State,2004,1,25,25,1329
Aaron Brooks,Houston Rockets,Oregon,2007,1,26,26,1332
Arsalan Kazemi,Washington Wizards,Oregon,2013,2,24,54,1332
Fred Jones,Indiana Pacers,Oregon,2002,1,14,14,1332
Joe Young,Indiana Pacers,Oregon,2015,2,13,43,1332
Luke Jackson,Cleveland Cavaliers,Oregon,2004,1,10,10,1332
Luke Ridnour,Seattle SuperSonics,Oregon,2003,1,14,14,1332
Maarty Leunen,Houston Rockets,Oregon,2008,2,24,54,1332
Malik Hairston,Phoenix Suns,Oregon,2008,2,18,48,1332
Jared Cunningham,Cleveland Cavaliers,Oregon State,2012,1,24,24,1333
Alex Acker,Detroit Pistons,Pepperdine,2005,2,30,60,1337
Aaron Gray,Chicago Bulls,Pittsburgh,2007,2,19,49,1338
Chris Taft,Golden State Warriors,Pittsburgh,2005,2,12,42,1338
DeJuan Blair,San Antonio Spurs,Pittsburgh,2009,2,7,37,1338
Lamar Patterson,Milwaukee Bucks,Pittsburgh,2014,2,18,48,1338
Sam Young,Memphis Grizzlies,Pittsburgh,2009,2,6,36,1338
Steven Adams,Oklahoma City Thunder,Pittsburgh,2013,1,12,12,1338
Ben Bentil,Boston Celtics,Providence,2016,2,21,51,1344
Herbert Hill,Utah Jazz,Providence,2007,2,25,55,1344
Kris Dunn,Minnesota Timberwolves,Providence,2016,1,5,5,1344
Marcus Douthit,Los Angeles Lakers,Providence,2004,2,27,56,1344
MarShon Brooks,Boston Celtics,Providence,2011,1,25,25,1344
Ricky Ledo,Milwaukee Bucks,Providence,2013,2,13,43,1344
Ryan Gomes,Boston Celtics,Providence,2005,2,20,50,1344
AJ Hammons,Dallas Mavericks,Purdue,2016,2,16,46,1345
Carl Landry,Seattle SuperSonics,Purdue,2007,2,1,31,1345
E'Twaun Moore,Boston Celtics,Purdue,2011,2,25,55,1345
JaJuan Johnson,New Jersey Nets,Purdue,2011,1,27,27,1345
Robbie Hummel,Minnesota Timberwolves,Purdue,2012,2,28,58,1345
Morris Almond,Utah Jazz,Rice,2007,1,25,25,1349
Justin Harper,Cleveland Cavaliers,Richmond,2011,2,2,32,1350
Jason Thompson,Sacramento Kings,Rider,2008,1,12,12,1351
Hamady Ndiaye,Minnesota Timberwolves,Rutgers,2010,2,26,56,1353
Quincy Douby,Sacramento Kings,Rutgers,2006,1,19,19,1353
Nate Wolters,Washington Wizards,South Dakota State,2013,2,8,38,1355
Donta Smith,Atlanta Hawks,Southeastern Illinois,2004,2,5,34,1356
Jamaal Franklin,Memphis Grizzlies,San Diego State,2013,2,11,41,1361
Kawhi Leonard,Indiana Pacers,San Diego State,2011,1,15,15,1361
Randy Holcomb,San Antonio Spurs,San Diego State,2002,2,28,56,1361
Xavier Thames,Toronto Raptors,San Diego State,2014,2,29,59,1361
Orlando Johnson,Sacramento Kings,California-Santa Barbara,2012,2,6,36,1364
Isaiah Whitehead,Brooklyn Nets,Seton Hall,2016,2,12,42,1371
Renaldo Balkman,New York Knicks,South Carolina,2006,1,20,20,1376
Dominique Jones,Memphis Grizzlies,South Florida,2010,1,25,25,1378
Solomon Jones,Atlanta Hawks,South Florida,2006,2,3,33,1378
Andrew Nicholson,Orlando Magic,St. Bonaventure,2012,1,19,19,1382
Maurice Harkless,Philadelphia 76ers,St. John's (NY),2012,1,15,15,1385
Sir'Dominic Pointer,Cleveland Cavaliers,St. John's (NY),2015,2,23,53,1385
Ahmad Nivins,Dallas Mavericks,Saint Joseph's,2009,2,26,56,1386
DeAndre' Bembry,Atlanta Hawks,Saint Joseph's,2016,1,21,21,1386
Delonte West,Boston Celtics,Saint Joseph's,2004,1,24,24,1386
Jameer Nelson,Denver Nuggets,Saint Joseph's,2004,1,20,20,1386
Patty Mills,Portland Trail Blazers,St. Mary's (CA),2009,2,25,55,1388
Anthony Brown,Los Angeles Lakers,Stanford,2015,2,4,34,1390
Brook Lopez,New Jersey Nets,Stanford,2008,1,10,10,1390
Casey Jacobsen,Phoenix Suns,Stanford,2002,1,22,22,1390
Curtis Borchardt,Orlando Magic,Stanford,2002,1,18,18,1390
Dwight Powell,Charlotte Hornets,Stanford,2014,2,15,45,1390
Josh Childress,Atlanta Hawks,Stanford,2004,1,6,6,1390
Josh Huestis,Oklahoma City Thunder,Stanford,2014,1,29,29,1390
Landry Fields,New York Knicks,Stanford,2010,2,9,39,1390
Robin Lopez,Phoenix Suns,Stanford,2008,1,15,15,1390
Andy Rautins,New York Knicks,Syracuse,2010,2,8,38,1393
Carmelo Anthony,Denver Nuggets,Syracuse,2003,1,3,3,1393
Chris McCullough,Brooklyn Nets,Syracuse,2015,1,29,29,1393
Demetris Nichols,Portland Trail Blazers,Syracuse,2007,2,23,53,1393
Dion Waiters,Cleveland Cavaliers,Syracuse,2012,1,4,4,1393
Donte Greene,Memphis Grizzlies,Syracuse,2008,1,28,28,1393
Fab Melo,Boston Celtics,Syracuse,2012,1,22,22,1393
Hakim Warrick,Memphis Grizzlies,Syracuse,2005,1,19,19,1393
Jerami Grant,Philadelphia 76ers,Syracuse,2014,2,9,39,1393
Jonny Flynn,Minnesota Timberwolves,Syracuse,2009,1,6,6,1393
Kris Joseph,Boston Celtics,Syracuse,2012,2,21,51,1393
Malachi Richardson,Charlotte Hornets,Syracuse,2016,1,22,22,1393
Michael Carter-Williams,Philadelphia 76ers,Syracuse,2013,1,11,11,1393
Michael Gbinije,Detroit Pistons,Syracuse,2016,2,19,49,1393
Rakeem Christmas,Minnesota Timberwolves,Syracuse,2015,2,6,36,1393
Tyler Ennis,Phoenix Suns,Syracuse,2014,1,18,18,1393
Wesley Johnson,Minnesota Timberwolves,Syracuse,2010,1,4,4,1393
Lavoy Allen,Philadelphia 76ers,Temple,2011,2,20,50,1396
Mardy Collins,New York Knicks,Temple,2006,1,29,29,1396
Jarnell Stokes,Utah Jazz,Tennessee,2014,2,5,35,1397
Jordan McRae,San Antonio Spurs,Tennessee,2014,2,28,58,1397
Josh Richardson,Miami Heat,Tennessee,2015,2,10,40,1397
Marcus Haislip,Milwaukee Bucks,Tennessee,2002,1,13,13,1397
Tobias Harris,Charlotte Bobcats,Tennessee,2011,1,19,19,1397
Vincent Yarbrough,Denver Nuggets,Tennessee,2002,2,4,32,1397
Kevin Murphy,Utah Jazz,Tennessee Tech,2012,2,17,47,1399
Avery Bradley,Boston Celtics,Texas,2010,1,19,19,1400
Chris Owens,Milwaukee Bucks,Texas,2002,2,19,47,1400
Cory Joseph,San Antonio Spurs,Texas,2011,1,29,29,1400
D.J. Augustin,Charlotte Bobcats,Texas,2008,1,9,9,1400
Damion James,Atlanta Hawks,Texas,2010,1,24,24,1400
Daniel Gibson,Cleveland Cavaliers,Texas,2006,2,12,42,1400
Dexter Pittman,Miami Heat,Texas,2010,2,2,32,1400
Jordan Hamilton,Dallas Mavericks,Texas,2011,1,26,26,1400
Kevin Durant,Seattle SuperSonics,Texas,2007,1,2,2,1400
LaMarcus Aldridge,Chicago Bulls,Texas,2006,1,2,2,1400
Myles Turner,Indiana Pacers,Texas,2015,1,11,11,1400
PJ Tucker,Toronto Raptors,Texas,2006,2,5,35,1400
T.J. Ford,Milwaukee Bucks,Texas,2003,1,8,8,1400
Tristan Thompson,Cleveland Cavaliers,Texas,2011,1,4,4,1400
Acie Law,Atlanta Hawks,Texas A&M,2007,1,11,11,1401
Antoine Wright,New Jersey Nets,Texas A&M,2005,1,15,15,1401
Chinemelu Elonu,Los Angeles Lakers,Texas A&M,2009,2,29,59,1401
DeAndre Jordan,Los Angeles Clippers,Texas A&M,2008,2,5,35,1401
Khris Middleton,Detroit Pistons,Texas A&M,2012,2,9,39,1401
Andre Emmett,Seattle SuperSonics,Texas Tech,2004,2,6,35,1403
Lester Hudson,Boston Celtics,Tennessee-Martin,2009,2,28,58,1404
Jerome Jordan,Milwaukee Bucks,Tulsa,2010,2,14,44,1409
Robert Vaden,Charlotte Bobcats,Alabama-Birmingham,2009,2,24,54,1412
Walter Sharpe,Oklahoma City Thunder,Alabama-Birmingham,2008,2,2,32,1412
Jermaine Taylor,Washington Wizards,Central Florida,2009,2,2,32,1416
Arron Afflalo,Detroit Pistons,California-Los Angeles,2007,1,27,27,1417
Dan Gadzuric,Milwaukee Bucks,California-Los Angeles,2002,2,5,33,1417
Darren Collison,New Orleans Hornets,California-Los Angeles,2009,1,21,21,1417
Dijon Thompson,New York Knicks,California-Los Angeles,2005,2,24,54,1417
Jason Kapono,Cleveland Cavaliers,California-Los Angeles,2003,2,2,31,1417
Jordan Adams,Memphis Grizzlies,California-Los Angeles,2014,1,22,22,1417
Jordan Farmar,Los Angeles Lakers,California-Los Angeles,2006,1,26,26,1417
Jrue Holiday,Philadelphia 76ers,California-Los Angeles,2009,1,17,17,1417
Kevin Love,Memphis Grizzlies,California-Los Angeles,2008,1,5,5,1417
Kevon Looney,Golden State Warriors,California-Los Angeles,2015,1,30,30,1417
Kyle Anderson,San Antonio Spurs,California-Los Angeles,2014,1,30,30,1417
Luc Mbah a Moute,Milwaukee Bucks,California-Los Angeles,2008,2,7,37,1417
Malcolm Lee,Chicago Bulls,California-Los Angeles,2011,2,13,43,1417
Matt Barnes,Memphis Grizzlies,California-Los Angeles,2002,2,17,45,1417
Norman Powell,Milwaukee Bucks,California-Los Angeles,2015,2,16,46,1417
Russell Westbrook,Oklahoma City Thunder,California-Los Angeles,2008,1,4,4,1417
Ryan Hollins,Charlotte Bobcats,California-Los Angeles,2006,2,20,50,1417
Shabazz Muhammad,Utah Jazz,California-Los Angeles,2013,1,14,14,1417
Trevor Ariza,New York Knicks,California-Los Angeles,2004,2,14,43,1417
Tyler Honeycutt,Sacramento Kings,California-Los Angeles,2011,2,5,35,1417
Zach LaVine,Minnesota Timberwolves,California-Los Angeles,2014,1,13,13,1417
Elfrid Payton,Philadelphia 76ers,Louisiana-Lafayette,2014,1,10,10,1418
Orien Greene,Boston Celtics,Louisiana-Lafayette,2005,2,23,53,1418
Anthony Bennett,Cleveland Cavaliers,Nevada-Las Vegas,2013,1,1,1,1424
Marcus Banks,Memphis Grizzlies,Nevada-Las Vegas,2003,1,13,13,1424
Patrick McCaw,Golden State Warriors,Nevada-Las Vegas,2016,2,8,38,1424
Rashad Vaughn,Milwaukee Bucks,Nevada-Las Vegas,2015,1,17,17,1424
Stephen Zimmerman,Orlando Magic,Nevada-Las Vegas,2016,2,11,41,1424
DeMar DeRozan,Toronto Raptors,Southern California,2009,1,9,9,1425
Gabe Pruitt,Boston Celtics,Southern California,2007,2,2,32,1425
Nick Young,Washington Wizards,Southern California,2007,1,16,16,1425
Nikola Vucevic,Philadelphia 76ers,Southern California,2011,1,16,16,1425
O.J. Mayo,Minnesota Timberwolves,Southern California,2008,1,3,3,1425
Sam Clancy,Philadelphia 76ers,Southern California,2002,2,16,44,1425
Taj Gibson,Chicago Bulls,Southern California,2009,1,26,26,1425
Andrew Bogut,Milwaukee Bucks,Utah,2005,1,1,1,1428
Delon Wright,Toronto Raptors,Utah,2015,1,20,20,1428
Jakob Poeltl,Toronto Raptors,Utah,2016,1,9,9,1428
Derrick Caracter,Los Angeles Lakers,Texas-El Paso,2010,2,28,58,1431
Eric Maynor,Utah Jazz,Virginia Commonwealth,2009,1,20,20,1433
Larry Sanders,Milwaukee Bucks,Virginia Commonwealth,2010,1,15,15,1433
Damian Jones,Golden State Warriors,Vanderbilt,2016,1,30,30,1435
Derrick Byars,Portland Trail Blazers,Vanderbilt,2007,2,12,42,1435
Festus Ezeli,Golden State Warriors,Vanderbilt,2012,1,30,30,1435
Jeff Taylor,Charlotte Bobcats,Vanderbilt,2012,2,1,31,1435
John Jenkins,Atlanta Hawks,Vanderbilt,2012,1,23,23,1435
Matt Freije,Miami Heat,Vanderbilt,2004,2,24,53,1435
Shan Foster,Dallas Mavericks,Vanderbilt,2008,2,21,51,1435
Wade Baldwin IV,Memphis Grizzlies,Vanderbilt,2016,1,17,17,1435
Dante Cunningham,Portland Trail Blazers,Villanova,2009,2,3,33,1437
Darrun Hilliard,Detroit Pistons,Villanova,2015,2,8,38,1437
Kyle Lowry,Memphis Grizzlies,Villanova,2006,1,24,24,1437
Randy Foye,Boston Celtics,Villanova,2006,1,7,7,1437
Joe Harris,Cleveland Cavaliers,Virginia,2014,2,3,33,1438
Justin Anderson,Dallas Mavericks,Virginia,2015,1,21,21,1438
Malcolm Brogdon,Milwaukee Bucks,Virginia,2016,2,6,36,1438
Mike Scott,Atlanta Hawks,Virginia,2012,2,13,43,1438
Roger Mason Jr.,Chicago Bulls,Virginia,2002,2,2,30,1438
Sean Singletary,Sacramento Kings,Virginia,2008,2,12,42,1438
Deron Washington,Detroit Pistons,Virginia Tech,2008,2,29,59,1439
Erick Green,Utah Jazz,Virginia Tech,2013,2,16,46,1439
Kevin Martin,Sacramento Kings,Western Carolina,2004,1,26,26,1441
Courtney Lee,Orlando Magic,Western Kentucky,2008,1,22,22,1443
Jeremy Evans,Utah Jazz,Western Kentucky,2010,2,25,55,1443
Al-Farouq Aminu,Los Angeles Clippers,Wake Forest,2010,1,8,8,1448
Chris Paul,New Orleans/Oklahoma City Hornets,Wake Forest,2005,1,4,4,1448
Darius Songaila,Boston Celtics,Wake Forest,2002,2,21,49,1448
James Johnson,Chicago Bulls,Wake Forest,2009,1,16,16,1448
Jeff Teague,Atlanta Hawks,Wake Forest,2009,1,19,19,1448
Josh Howard,Dallas Mavericks,Wake Forest,2003,1,29,29,1448
Bobby Jones,Minnesota Timberwolves,Washington,2006,2,7,37,1449
Brandon Roy,Minnesota Timberwolves,Washington,2006,1,6,6,1449
CJ Wilcox,Los Angeles Clippers,Washington,2014,1,28,28,1449
Dejounte Murray,San Antonio Spurs,Washington,2016,1,29,29,1449
Isaiah Thomas,Sacramento Kings,Washington,2011,2,30,60,1449
Jon Brockman,Portland Trail Blazers,Washington,2009,2,8,38,1449
Marquese Chriss,Phoenix Suns,Washington,2016,1,8,8,1449
Nate Robinson,Phoenix Suns,Washington,2005,1,21,21,1449
Quincy Pondexter,Oklahoma City Thunder,Washington,2010,1,26,26,1449
Spencer Hawes,Sacramento Kings,Washington,2007,1,10,10,1449
Terrence Ross,Toronto Raptors,Washington,2012,1,8,8,1449
Tony Wroten,Memphis Grizzlies,Washington,2012,1,25,25,1449
Klay Thompson,Golden State Warriors,Washington State,2011,1,11,11,1450
Kyle Weaver,Charlotte Bobcats,Washington State,2008,2,8,38,1450
Damian Lillard,Portland Trail Blazers,Weber State,2012,1,6,6,1451
Joel Bolomboy,Utah Jazz,Weber State,2016,2,22,52,1451
Da'Sean Butler,Miami Heat,West Virginia,2010,2,12,42,1452
Devin Ebanks,Los Angeles Lakers,West Virginia,2010,2,13,43,1452
Joe Alexander,Milwaukee Bucks,West Virginia,2008,1,8,8,1452
Alec Brown,Phoenix Suns,Wisconsin-Green Bay,2014,2,20,50,1453
Cleanthony Early,New York Knicks,Wichita State,2014,2,4,34,1455
Marcus Thornton,Boston Celtics,William & Mary,2015,2,15,45,1456
Alando Tucker,Phoenix Suns,Wisconsin,2007,1,29,29,1458
Devin Harris,Washington Wizards,Wisconsin,2004,1,5,5,1458
Frank Kaminsky,Charlotte Hornets,Wisconsin,2015,1,9,9,1458
Jon Leuer,Milwaukee Bucks,Wisconsin,2011,2,10,40,1458
Sam Dekker,Houston Rockets,Wisconsin,2015,1,18,18,1458
Larry Nance Jr.,Los Angeles Lakers,Wyoming,2015,1,27,27,1461
David West,New Orleans Hornets,Xavier,2003,1,18,18,1462
Derrick Brown,Charlotte Bobcats,Xavier,2009,2,10,40,1462
Jordan Crawford,New Jersey Nets,Xavier,2010,1,27,27,1462
Lionel Chalmers,Los Angeles Clippers,Xavier,2004,2,4,33,1462
Romain Sato,San Antonio Spurs,Xavier,2004,2,23,52,1462
Semaj Christon,Miami Heat,Xavier,2014,2,25,55,1462
Adam Hanga,San Antonio Spurs,Alba Fehervar (Hungary),2011,2,29,59,
Al Jefferson,Boston Celtics,Prentiss,2004,1,15,15,
Albert Miralles,Toronto Raptors,Roseto Sharks (Italy),2004,2,10,39,
Alessandro Gentile,Minnesota Timberwolves,Olimpia Milano (Italy),2014,2,23,53,
Alex Abrines,Oklahoma City Thunder,FC Barcelona Basquet (Spain),2013,2,2,32,
Alexis Ajinca,Charlotte Bobcats,Hyeres-Toulon Var Basket (France),2008,1,20,20,
Amar'e Stoudemire,Phoenix Suns,Cypress Creek,2002,1,9,9,
Amir Johnson,Detroit Pistons,Westchester,2005,2,26,56,
Anderson Varejao,Orlando Magic,FC Barcelona Basquet (Spain),2004,2,1,30,
Andray Blatche,Washington Wizards,South Kent School,2005,2,19,49,
Andrea Bargnani,Toronto Raptors,Universo Treviso Basket (Italy),2006,1,1,1,
Andreas Glyniadakis,Detroit Pistons,A.E.K. Athens B.C. (Greece),2003,2,29,58,
Andrew Bynum,Los Angeles Lakers,Saint Joseph,2005,1,10,10,
Andris Biedrins,Golden State Warriors,BK Skonto (Latvia),2004,1,11,11,
Ante Zizic,Boston Celtics,KK Cibona (Croatia),2016,1,23,23,
Arturas Gudaitis,Philadelphia 76ers,BC Zalgiris (Lithuania),2015,2,17,47,
Ater Majok,Los Angeles Lakers,Gold Coast Blaze (Australia),2011,2,28,58,
Axel Hervelle,Denver Nuggets,Real Madrid Baloncesto (Spain),2005,2,22,52,
Beno Udrih,San Antonio Spurs,Olimpia Milano (Italy),2004,1,28,28,
Bismack Biyombo,Sacramento Kings,Baloncesto Fuenlabrada (Spain),2011,1,7,7,
Bogdan Bogdanovic,Phoenix Suns,KK Partizan (Serbia),2014,1,27,27,
Bojan Bogdanovic,Miami Heat,KK Partizan (Serbia),2011,2,1,31,
Bojan Dubljevic,Minnesota Timberwolves,Valencia BC (Spain),2013,2,29,59,
Boris Diaw,Atlanta Hawks,Elan Bearnais Pau-Orthez (France),2003,1,21,21,
Bostjan Nachbar,Houston Rockets,Universo Treviso Basket (Italy),2002,1,15,15,
Brad Newley,Houston Rockets,Townsville Crocodiles (Australia),2007,2,24,54,
Brandon Jennings,Milwaukee Bucks,Pallacanestro Virtus Roma (Italy),2009,1,10,10,
Bruno Caboclo,Toronto Raptors,Esporte Clube Pinheiros (Brazil),2014,1,20,20,
Carlos Delfino,Detroit Pistons,Fortitudo Pallacanestro Bologna (Italy),2003,1,25,25,
Cedi Osman,Minnesota Timberwolves,Anadolu Efes S.K. (Turkey),2015,2,1,31,
Cenk Akyol,Atlanta Hawks,Anadolu Efes S.K. (Turkey),2005,2,29,59,
Cheikh Samb,Los Angeles Lakers,CB Cornella (Spain),2006,2,21,51,
Christian Drejer,New Jersey Nets,FC Barcelona Basquet (Spain),2004,2,22,51,
Christian Eyenga,Cleveland Cavaliers,CB Prat (Spain),2009,1,30,30,
Chukwudiebere Maduabum,Los Angeles Lakers,Bakersfield Jam (D-League),2011,2,26,56,
CJ Miles,Utah Jazz,Skyline,2005,2,4,34,
Clint Capela,Houston Rockets,Elan Chalon (France),2014,1,25,25,
Damien Inglis,Milwaukee Bucks,Chorale Roanne Basket (France),2014,2,1,31,
Damir Markota,San Antonio Spurs,KK Cibona (Croatia),2006,2,29,59,
Daniel Diez,Utah Jazz,San Sebastian Gipuzkoa BC (Spain),2015,2,24,54,
Danilo Gallinari,New York Knicks,Olimpia Milano (Italy),2008,1,6,6,
Dante Exum,Utah Jazz,Australian Institute of Sport (Australia),2014,1,5,5,
Dario Saric,Orlando Magic,KK Cibona (Croatia),2014,1,12,12,
Darko Milicic,Detroit Pistons,KK Vrsac (Serbia),2003,1,2,2,
David Andersen,Atlanta Hawks,Virtus Pallacanestro Bologna (Italy),2002,2,8,36,
David Michineau,New Orleans Pelicans,Elan Chalon (France),2016,2,9,39,
Davis Bertans,Indiana Pacers,KK Olimpija (Slovenia),2011,2,12,42,
Dennis Schroder,Atlanta Hawks,Basketball Lowen Braunschweig (Germany),2013,1,17,17,
Dimitrios Agravanis,Atlanta Hawks,Olympiacos B.C. (Greece),2015,2,29,59,
Donatas Motiejunas,Minnesota Timberwolves,Universo Treviso Basket (Italy),2011,1,20,20,
Dorell Wright,Miami Heat,South Kent School,2004,1,19,19,
Dragan Bender,Phoenix Suns,Maccabi Tel Aviv B.C. (Israel),2016,1,4,4,
Dwight Howard,Orlando Magic,Southwest Atlanta Christian Academy,2004,1,1,1,
Edin Bavcic,Toronto Raptors,KK Bosna Royal (Bosnia and Herzegovina),2006,2,26,56,
Edy Tavares,Atlanta Hawks,CB Gran Canaria (Spain),2014,2,13,43,
Ejike Ugboaja,Cleveland Cavaliers,Union Bank Lagos B.C. (Nigeria),2006,2,25,55,
Emir Preldzic,Phoenix Suns,Fenerbahce S.K. (Turkey),2009,2,27,57,
Emmanuel Mudiay,Denver Nuggets,Guangdong Southern Tigers (China),2015,1,7,7,
Ersan Ilyasova,Milwaukee Bucks,Ulkerspor (Turkey),2005,2,6,36,
Evan Fournier,Denver Nuggets,Poitiers Basket 86 (France),2012,1,20,20,
Ezarem Lorbek,Indiana Pacers,Fortitudo Pallacanestro Bologna (Italy),2005,2,16,46,
Federico Kammerichs,Portland Trail Blazers,Club Ourense Baloncesto (Spain),2002,2,22,50,
Fran Vazquez,Orlando Magic,Baloncesto Malaga (Spain),2005,1,11,11,
Furkan Aldemir,Los Angeles Clippers,Galatasaray S.K. (Turkey),2012,2,23,53,
Furkan Korkmaz,Philadelphia 76ers,Anadolu Efes S.K. (Turkey),2016,1,26,26,
Georgios Papagiannis,Sacramento Kings,Panathinaikos B.C. (Greece),2016,1,13,13,
Gerald Green,Boston Celtics,Gulf Shores Academy,2005,1,18,18,
Giannis Antetokounmpo,Milwaukee Bucks,Basket Zaragoza 2002 (Spain),2013,1,15,15,
Giorgos Printezis,San Antonio Spurs,Olympiacos B.C. (Greece),2007,2,28,58,
Goran Dragic,San Antonio Spurs,KK Olimpija (Slovenia),2008,2,15,45,
Guerschon Yabusele,Boston Celtics,SPO Rouen Basket,2016,1,16,16,
Ha Seung-Jin,Portland Trail Blazers,Yonsei (KOR),2004,2,17,46,
Henk Norel,Minnesota Timberwolves,Joventut Badalona (Spain),2009,2,17,47,
Henry Walker,Utah Jazz,KK Zagreb (Croatia),2008,2,14,44,
Ian Mahinmi,San Antonio Spurs,STB Le Havre (France),2005,1,28,28,
Ilkan Karaman,Brooklyn Nets,Pinar Karsiyaka (Turkey),2012,2,27,57,
Isaia Cordinier,Atlanta Hawks,Denain ASC Voltaire,2016,2,14,44,
Ivica Zubac,Los Angeles Lakers,KK Mega Vizura,2016,2,2,32,
Izzet Turkyilmaz,Denver Nuggets,Banvit B.K. (Turkey),2012,2,20,50,
James Lang,New Orleans Hornets,Central Park Christian,2003,2,19,48,
Jan Vesely,Washington Wizards,KK Partizan (Serbia),2011,1,6,6,
Janis Timma,Memphis Grizzlies,BK Ventspils (Latvia),2013,2,30,60,
Jeremy Tyler,Charlotte Bobcats,Tokyo Apache (Japan),2011,2,9,39,
Jiri Welsch,Philadelphia 76ers,KK Olimpija (Slovenia),2002,1,16,16,
Joel Freeland,Portland Trail Blazers,CB Gran Canaria (Spain),2006,1,30,30,
