name_spelling,team_id
a&m-corpus chris,1394
a&m-corpus chris,1394
abilene chr,1101
abilene chr,1101
abilene christian,1101
abilene christian,1101
Abilene Christian University ,1101
abilene-christian,1101
abilene-christian,1101
air force,1102
air force,1102
air-force,1102
air-force,1102
akron,1103
akron,1103
alabama,1104
alabama,1104
alabama a&m,1105
alabama a&m,1105
Alabama Agricultural and Mechanical University,1105
Alabama Agricultural and Mechanical University,1105
alabama st,1106
alabama st,1106
alabama st.,1106
alabama st.,1106
alabama state,1106
alabama state,1106
Alabama State University ,1106
alabama-am,1105
alabama-am,1105
alabama-birmingham,1412
alabama-birmingham,1412
alabama-state,1106
alabama-state,1106
albany,1107
albany,1107
albany (ny),1107
albany (ny),1107
albany ny,1107
albany ny,1107
albany-ny,1107
albany-ny,1107
alcorn,1108
alcorn,1108
alcorn st,1108
alcorn st,1108
alcorn st.,1108
alcorn st.,1108
alcorn state,1108
alcorn state,1108
Alcorn State University ,1108
alcorn-state,1108
alcorn-state,1108
alliant international,1109
alliant international,1109
alliant intl,1109
alliant intl,1109
american,1110
american,1110
american u.,1110
american u.,1110
american univ,1110
american univ,1110
american university,1110
american university,1110
American University ,1110
american-university,1110
american-university,1110
appalachian st,1111
appalachian st,1111
appalachian st.,1111
appalachian st.,1111
appalachian state,1111
appalachian state,1111
Appalachian State University ,1111
appalachian-state,1111
appalachian-state,1111
arizona,1112
arizona,1112
arizona st,1113
arizona st,1113
arizona st.,1113
arizona st.,1113
arizona state,1113
arizona state,1113
Arizona State University ,1113
arizona-state,1113
arizona-state,1113
ark little rock,1114
ark little rock,1114
ark pine bluff,1115
ark pine bluff,1115
ark.-pine bluff,1115
ark.-pine bluff,1115
arkansas,1116
arkansas,1116
arkansas st,1117
arkansas st,1117
arkansas st.,1117
arkansas st.,1117
arkansas state,1117
arkansas state,1117
Arkansas State University ,1117
arkansas-little rock,1114
arkansas-little rock,1114
arkansas-little-rock,1114
arkansas-little-rock,1114
arkansas-pine bluff,1115
arkansas-pine bluff,1115
Arkansas–Pine Bluff,1115
arkansas-pine-bluff,1115
arkansas-pine-bluff,1115
arkansas-state,1117
arkansas-state,1117
armstrong,1118
armstrong,1118
armstrong st,1118
armstrong st,1118
army,1119
army,1119
auburn,1120
auburn,1120
Auburn University ,1120
augusta,1121
augusta,1121
augusta state,1121
augusta state,1121
austin peay,1122
austin peay,1122
Austin Peay State University ,1122
austin-peay,1122
austin-peay,1122
bakersfield,1167
bakersfield,1167
ball st,1123
ball st,1123
ball st.,1123
ball st.,1123
ball state,1123
ball state,1123
Ball State University ,1123
ball-state,1123
ball-state,1123
baylor,1124
baylor,1124
Baylor University ,1124
belmont,1125
belmont,1125
Belmont University ,1125
bethune-cookman,1126
bethune-cookman,1126
Bethune-Cookman University ,1126
binghamton,1127
binghamton,1127
Binghamton University ,1127
birmingham so,1128
birmingham so,1128
birmingham southern,1128
birmingham southern,1128
birmingham-southern,1128
birmingham-southern,1128
boise st,1129
boise st,1129
boise st.,1129
boise st.,1129
boise state,1129
boise state,1129
Boise State University ,1129
boise-state,1129
boise-state,1129
boston,1131
boston,1131
boston college,1130
boston college,1130
boston u,1131
boston u,1131
boston u.,1131
boston u.,1131
boston univ,1131
boston univ,1131
boston university,1131
boston university,1131
boston-college,1130
boston-college,1130
boston-university,1131
boston-university,1131
bowling green,1132
bowling green,1132
bowling green state,1132
bowling green state,1132
Bowling Green State University ,1132
bowling-green,1132
bowling-green,1132
bowling-green-state,1132
bowling-green-state,1132
bradley,1133
bradley,1133
Bradley University ,1133
brigham young,1140
brigham young,1140
Brigham Young University ,1140
brigham-young,1140
brigham-young,1140
brooklyn,1134
brooklyn,1134
brown,1135
brown,1135
Brown University ,1135
bryant,1136
bryant,1136
bryant university,1136
bryant university,1136
Bryant University ,1136
bucknell,1137
bucknell,1137
Bucknell University ,1137
buffalo,1138
buffalo,1138
butler,1139
butler,1139
Butler University ,1139
byu,1140
byu,1140
c michigan,1141
c michigan,1141
cal poly,1142
cal poly,1142
cal poly slo,1142
cal poly slo,1142
cal riverside,1415
cal riverside,1415
cal st. fullerton,1168
cal st. fullerton,1168
cal st. northridge,1169
cal st. northridge,1169
cal state bakersfield,1167
cal state bakersfield,1167
cal state fullerton,1168
cal state fullerton,1168
cal state northridge,1169
cal state northridge,1169
cal. state - bakersfield,1167
cal. state - bakersfield,1167
california,1143
california,1143
California Polytechnic State University ,1142
"California State University, Bakersfield ",1167
"California State University, Fresno ",1201
"California State University, Fullerton ",1168
"California State University, Long Beach ",1253
"California State University, Northridge ",1169
"California State University, Sacramento ",1170
california-davis,1413
california-davis,1413
california-irvine,1414
california-irvine,1414
california-riverside,1415
california-riverside,1415
california-santa barbara,1364
california-santa barbara,1364
california-santa-barbara,1364
california-santa-barbara,1364
cal-poly,1142
cal-poly,1142
cal-state-bakersfield,1167
cal-state-bakersfield,1167
cal-state-fullerton,1168
cal-state-fullerton,1168
cal-state-northridge,1169
cal-state-northridge,1169
campbell,1144
campbell,1144
Campbell University ,1144
canisius,1145
canisius,1145
Canisius College ,1145
cent arkansas,1146
cent arkansas,1146
centenary,1147
centenary,1147
centenary (la),1147
centenary (la),1147
Centenary (La.),1147
Centenary (La.),1147
central ark.,1146
central ark.,1146
central arkansas,1146
central arkansas,1146
central conn,1148
central conn,1148
central conn. st.,1148
central conn. st.,1148
central connecticut,1148
central connecticut,1148
central connecticut state,1148
central connecticut state,1148
Central Connecticut State University ,1148
central florida,1416
central florida,1416
central florida(ucf),1416
central florida(ucf),1416
central mich.,1141
central mich.,1141
central michigan,1141
central michigan,1141
Central Michigan University ,1141
central-arkansas,1146
central-arkansas,1146
central-connecticut-state,1148
central-connecticut-state,1148
central-florida,1416
central-florida,1416
central-michigan,1141
central-michigan,1141
charleston,1158
charleston,1158
charleston so,1149
charleston so,1149
charleston so.,1149
charleston so.,1149
charleston southern,1149
charleston southern,1149
Charleston Southern University ,1149
charleston-southern,1149
charleston-southern,1149
charlotte,1150
charlotte,1150
chattanooga,1151
chattanooga,1151
chicago st,1152
chicago st,1152
chicago st.,1152
chicago st.,1152
chicago state,1152
chicago state,1152
Chicago State University ,1152
chicago-state,1152
chicago-state,1152
cincinnati,1153
cincinnati,1153
citadel,1154
citadel,1154
clemson,1155
clemson,1155
Clemson University ,1155
cleveland st,1156
cleveland st,1156
cleveland st.,1156
cleveland st.,1156
cleveland state,1156
cleveland state,1156
Cleveland State University ,1156
cleveland-state,1156
cleveland-state,1156
coastal car,1157
coastal car,1157
coastal caro.,1157
coastal caro.,1157
coastal carolina,1157
coastal carolina,1157
Coastal Carolina University ,1157
coastal-carolina,1157
coastal-carolina,1157
col charleston,1158
col charleston,1158
col. of charleston,1158
col. of charleston,1158
colgate,1159
colgate,1159
Colgate University ,1159
college of charlesto,1158
college of charlesto,1158
college of charleston,1158
college of charleston,1158
College of Charleston ,1158
College of the Holy Cross ,1221
College of William & Mary ,1456
college-of-charleston,1158
college-of-charleston,1158
colorado,1160
colorado,1160
colorado st,1161
colorado st,1161
colorado st.,1161
colorado st.,1161
colorado state,1161
colorado state,1161
Colorado State University ,1161
colorado-state,1161
colorado-state,1161
columbia,1162
columbia,1162
Columbia University ,1162
connecticut,1163
connecticut,1163
coppin st,1164
coppin st,1164
coppin st.,1164
coppin st.,1164
coppin state,1164
coppin state,1164
Coppin State University ,1164
coppin-state,1164
coppin-state,1164
cornell,1165
cornell,1165
Cornell University ,1165
creighton,1166
creighton,1166
Creighton University ,1166
cs bakersfield,1167
cs bakersfield,1167
cs fullerton,1168
cs fullerton,1168
cs northridge,1169
cs northridge,1169
cs sacramento,1170
cs sacramento,1170
csu northridge,1169
csu northridge,1169
dartmouth,1171
dartmouth,1171
Dartmouth College ,1171
davidson,1172
davidson,1172
Davidson College ,1172
dayton,1173
dayton,1173
delaware,1174
delaware,1174
delaware st,1175
delaware st,1175
delaware st.,1175
delaware st.,1175
delaware state,1175
delaware state,1175
Delaware State University ,1175
delaware-state,1175
delaware-state,1175
denver,1176
denver,1176
depaul,1177
depaul,1177
DePaul University ,1177
detroit,1178
detroit,1178
detroit mercy,1178
detroit mercy,1178
detroit-mercy,1178
detroit-mercy,1178
drake,1179
drake,1179
Drake University ,1179
drexel,1180
drexel,1180
Drexel University ,1180
duke,1181
duke,1181
Duke University ,1181
duquesne,1182
duquesne,1182
Duquesne University ,1182
e illinois,1183
e illinois,1183
e kentucky,1184
e kentucky,1184
e michigan,1185
e michigan,1185
e washington,1186
e washington,1186
east carolina,1187
east carolina,1187
East Carolina University ,1187
east tenn. st.,1190
east tenn. st.,1190
east tennessee st.,1190
east tennessee st.,1190
east tennessee state,1190
east tennessee state,1190
East Tennessee State University ,1190
east-carolina,1187
east-carolina,1187
eastern ill.,1183
eastern ill.,1183
eastern illinois,1183
eastern illinois,1183
Eastern Illinois University ,1183
eastern kentucky,1184
eastern kentucky,1184
Eastern Kentucky University ,1184
eastern ky.,1184
eastern ky.,1184
eastern mich.,1185
eastern mich.,1185
eastern michigan,1185
eastern michigan,1185
Eastern Michigan University ,1185
eastern wash.,1186
eastern wash.,1186
eastern washington,1186
eastern washington,1186
Eastern Washington University ,1186
eastern-illinois,1183
eastern-illinois,1183
eastern-kentucky,1184
eastern-kentucky,1184
eastern-michigan,1185
eastern-michigan,1185
eastern-washington,1186
eastern-washington,1186
east-tennessee-state,1190
east-tennessee-state,1190
edwardsville,1188
edwardsville,1188
elon,1189
elon,1189
elon university,1189
elon university,1189
Elon University ,1189
estern carolina,1441
estern carolina,1441
etsu,1190
etsu,1190
evansville,1191
evansville,1191
f dickinson,1192
f dickinson,1192
fairfield,1193
fairfield,1193
Fairfield University ,1193
fairleigh dickinson,1192
fairleigh dickinson,1192
Fairleigh Dickinson University ,1192
fairleigh-dickinson,1192
fairleigh-dickinson,1192
fgcu,1195
fgcu,1195
fiu,1198
fiu,1198
fl atlantic,1194
fl atlantic,1194
fl gulf coast,1195
fl gulf coast,1195
fla. atlantic,1194
